"name","alias","city","state","url","control","deg_predomnt","deg_highest","locale_type","is_hbcu","is_pbi","is_annhi","is_tribal","is_aanapii","is_hsi","is_nanti","is_only_men","is_only_women","religious_affil","adm_rate","sat_avg","sat_mid50","act_p25","act_p75","act_mid50","sat_p25","sat_p75","ug_enrollment","net_price","cost_avg_income_0_30k","cost_avg_income_30_48k","cost_avg_income_48_75k","cost_avg_income_75_110k","cost_avg_income_110k_plus","earnings_med_10y","rate_completion","rm_board_dif","ratio","student_fac_ratio","no_aid","ROOMBOARD_ON","ROOMBOARD_OFF","MD_EARN_WNE_INC2_P6","TUITIONFEE_IN","TUITIONFEE_OUT"
"Arizona Christian University",NA,"Glendale","AZ","arizonachristian.edu/",2,3,3,21,0,0,0,0,0,1,0,0,0,88,0.7442,NA,1070,NA,NA,20,NA,NA,1127,31650223,30451,32794,32719,32025,33002,51612,0.3355,-800,0.866865934927479,18,1,13500,14300,42454,34697,34697
"University of Arkansas at Little Rock","UA Little Rock|University of Arkansas-Little Rock|Arkansas Little Rock|","Little Rock","AR","ualr.edu/www/",1,3,4,12,0,0,0,0,0,0,0,0,0,NA,0.5774,1049,1100,18,23,22,890,1170,4740,31650223,NA,NA,NA,NA,NA,45265,0.2539,-3370,0.791706846673095,11,1,9352,12722,44910,8455,19210
"University of Arkansas for Medical Sciences","UAMS","Little Rock","AR","https://www.uams.edu/",1,3,4,12,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1361,31650223,NA,NA,NA,NA,NA,73827,NA,NA,0.928861258441295,15,1,NA,NA,68445,NA,NA
"Arkansas Baptist College",NA,"Little Rock","AR","https://www.arkansasbaptist.edu/",2,3,3,12,1,0,0,0,0,0,0,0,0,54,NA,NA,NA,NA,NA,NA,NA,NA,373,31650223,8700,11820,18924,20340,20431,28418,0.0066,1046,0.855100132470973,15,1,8826,7780,24373,8760,8760
"Lyon College",NA,"Batesville","AR","www.lyon.edu/",2,3,3,33,0,0,0,0,0,0,0,0,0,66,0.6554,NA,1130,NA,NA,24,NA,NA,563,31650223,18857,17504,22559,25258,26818,44232,0.4409,0,0.781148025667419,10,1,10750,10750,35918,31000,31000
"University of Arkansas","University of Arkansas|Arkansas","Fayetteville","AR","https://www.uark.edu/",1,3,4,13,0,0,0,0,0,0,0,0,0,NA,0.7167,1174,1140,21,28,25,1050,1220,27312,31650223,NA,NA,NA,NA,NA,58191,0.5543,0,0.790803584545321,20,1,13290,13290,49763,9748,28772
"University of Arkansas at Pine Bluff","UAPB","Pine Bluff","AR","www.uapb.edu/",1,3,4,32,1,0,0,0,0,0,0,0,0,NA,0.5754,916,910,14,18,16,880,1050,1899,31650223,NA,NA,NA,NA,NA,35550,0.2425,3842,0.755588795213489,13,1,9122,5280,35799,9019,17029
"Arkansas State University","A-State, AState","Jonesboro","AR","www.astate.edu/",1,3,4,13,0,0,0,0,0,0,0,0,0,NA,0.6967,1119,1110,19,25,23,1030,1180,7994,31650223,NA,NA,NA,NA,NA,42617,0.4065,165,0.751907809373007,15,1,11100,10935,41254,7754,13826
"University of Central Arkansas",NA,"Conway","AR","www.uca.edu/",1,3,4,13,0,0,0,0,0,0,0,0,0,NA,0.9047,1117,1070,19,25,23,940,1120,7426,31650223,NA,NA,NA,NA,NA,45938,0.4032,-687,0.805387335884889,14,1,8662,9349,37560,10118,17258
"Central Baptist College","CBC","Conway","AR","www.cbc.edu/",2,3,3,13,0,0,0,0,0,0,0,0,0,54,0.4636,1022,1020,17,22,21,930,1150,477,31650223,13632,13536,15427,21054,19991,46789,0.3194,2164,0.892620839436335,12,1,8500,6336,42468,19680,19680
"Crowley's Ridge College",NA,"Paragould","AR","www.crc.edu/",2,3,3,41,0,0,0,0,0,0,0,0,0,74,NA,NA,NA,NA,NA,NA,NA,NA,162,31650223,15388,15291,18265,17590,20942,39533,0.1667,-1000,0.742823243430953,9,1,7900,8900,33746,16440,16440
"Henderson State University",NA,"Arkadelphia","AR","https://www.hsu.edu/",1,3,4,32,0,0,0,0,0,0,0,0,0,NA,0.8192,NA,1070,NA,NA,21,NA,NA,1491,31650223,NA,NA,NA,NA,NA,43459,0.29,2118,0.730177650429799,17,1,10680,8562,37104,7885,9882
"Hendrix College",NA,"Conway","AR","https://www.hendrix.edu/",2,3,4,13,0,0,0,0,0,0,0,0,0,71,0.5298,1336,1220,26,31,28,1180,1390,1094,31650223,17343,21032,21853,25645,26203,60376,0.6183,3244,0.89717583497053,11,1,14300,11056,40941,36650,36650
"John Brown University",NA,"Siloam Springs","AR","https://www.jbu.edu/",2,3,4,32,0,0,0,0,0,0,0,0,0,NA,0.6764,1222,1210,21,30,26,1130,1350,1415,31650223,17732,18333,19073,21672,24817,53907,0.5969,7758,0.870470791225043,16,1,10258,2500,47402,30832,30832
"Ouachita Baptist University","OBU","Arkadelphia","AR","obu.edu/",2,3,4,32,0,0,0,0,0,0,0,0,0,75,0.6852,1212,NA,21,28,NA,1060,1290,1612,31650223,19709,19326,20813,23238,23523,51673,0.6157,312,0.813255485106965,12,1,9240,8928,44727,32480,32480
